OSMPTrailsOSMPOBJECTID,OSMPTrailsOSMPOWNER,OSMPTrailsOSMPBICYCLES,OSMPTrailsOSMPDISPLAY,OSMPTrailsOSMPTRAILTYPE,OSMPTrailsOSMPDATEFROM,OSMPTrailsOSMPDATETO,OSMPTrailsOSMPSEGMENTID,OSMPTrailsOSMPHORSES,OSMPTrailsOSMPRID,OSMPTrailsOSMPTRLID,OSMPTrailsOSMPMILEAGE,OSMPTrailsOSMPMEASUREDFEET,OSMPTrailsOSMPTRAILNAME,OSMPTrailsOSMPGlobalID,OSMPTrailsOSMPDIFFICULTY,OSMPTrailsOSMPDOGS,OSMPTrailsOSMPDOGREGGEN,OSMPTrailsOSMPDOGREGDESC,OSMPTrailsOSMPEBIKES,SHAPESTLength,OSMPTrailClosuresOBJECTID,OSMPTrailClosuresRID,OSMPTrailClosuresCLOSUREDURATION,OSMPTrailClosuresWEBLINK,OSMPTrailClosuresCLOSUREAREA,OSMPTrailClosuresTRAILSTATUS,OSMPTrailClosuresCLOSUREREASON,OSMPTrailClosuresLOCATIONDESCRIPTION,OSMPTrailClosuresCONTACT,OSMPTrailClosuresCOMMENTS,OSMPTrailClosuresGLOBALID,OSMPTrailClosuresSEGMENTID
3093,OSMP,No,Yes,Hiking Trail,2019/08/06 00:00:00+00,2099/12/31 00:00:00+00,215-009-046,Yes,1756,215,0.88,4655,South Fork Shanahan,{1DBA6E8E-5366-40E0-BC72-AE09D99BA065},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,4644.619635,1567,1756,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{35435FF2-1E2C-461F-A5AF-568C7A4977B7},215-009-046
3094,OSMP,No,Yes,Hiking Trail,2019/08/08 00:00:00+00,2099/12/31 00:00:00+00,322-040-042,Yes,1757,322,0.332,1728,Fern Meadow - Cragmoor,{8C30A404-8CBD-479E-A722-65645EF1DD83},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,1750.609849,1568,1757,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{062B5F84-D710-4A5D-AE12-5FDF77829C9B},322-040-042
3095,OSMP,No,Yes,Hiking Trail,2019/08/08 00:00:00+00,2099/12/31 00:00:00+00,322-042-047,Yes,1758,322,0.011,68,Fern Meadow - Cragmoor,{2D27C274-4AA3-487C-9F3E-4C067827672C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,59.75280116,1569,1758,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{A2E446D4-794B-448D-909A-056277135C58},322-042-047
3096,OSMP,No,Yes,Hiking Trail,2019/08/12 00:00:00+00,2099/12/31 00:00:00+00,307-006-002,Yes,1760,307,0.733,3818,Greenbriar Connector,{5F78CFB5-A10B-4A7F-9897-70FFFE4CDFB0},Easy,No,No Dogs,No Dogs,No,3906.336266,1570,1760,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{55198390-2301-4660-8A9F-C973E6ABF80F},307-006-002
3097,OSMP,No,Yes,Hiking Trail,2019/08/12 00:00:00+00,2099/12/31 00:00:00+00,211-001-002,Yes,1761,211,0.19,988,Lower Big Bluestem,{515F8D82-CDCC-41A3-B6EE-11273B48168F},Easy,Yes,LR,Leash Required,No,1004.591298,1571,1761,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{5A09B71E-9F87-49AF-91AF-D3C50053940D},211-001-002
3098,OSMP,No,Yes,Hiking Trail,2019/08/12 00:00:00+00,2099/12/31 00:00:00+00,211-002-003,Yes,1762,211,0.918,4790,Lower Big Bluestem,{A4FA63D8-F777-49F6-9D8B-33B41A16FB9C},Easy,Yes,LR,Leash Required,No,4848.525752,1572,1762,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{4E3CBD9D-F313-418E-B3B3-38998DCD76CB},211-002-003
3099,OSMP,No,Yes,Hiking Trail,2019/08/12 00:00:00+00,2099/12/31 00:00:00+00,211-003-004,Yes,1763,211,0.561,2924,Lower Big Bluestem,{6500000C-5994-4913-8DBA-0A2AB0B62E0E},Moderate,Yes,LR,Leash Required,No,2959.540827,1573,1763,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{6EBFE95A-74E7-4CB0-8386-4E9B1795BB72},211-003-004
3100,OSMP,No,Yes,Hiking Trail,2019/08/13 00:00:00+00,2099/12/31 00:00:00+00,213-004-157,Yes,1764,213,0.964,5051,Upper Big Bluestem,{3435858C-8805-472D-BE63-5B7E9450FA1A},Difficult,Yes,RV,"LVS M-F, Leash Required Sat & Sun",No,5089.912633,1574,1764,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{599A715C-E9E6-4DBD-AEF6-6EBA9B310013},213-004-157
3101,OSMP,No,Yes,Hiking Trail,2019/08/14 00:00:00+00,2099/12/31 00:00:00+00,214-009-003,Yes,1765,214,0.47,2468,Bluestem Connector,{C25B7CDE-FC4F-429B-8A2A-9C84545F3A91},Easy,Yes,RV,Leash Required on South Portion,No,2479.692958,1575,1765,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,OSMP’s Vegetation Stewardship Team will be managing invasive species along the Bluestem Connector this Wednesday from 8:00 am through 3:00 pm.,{15D03045-482B-40CF-8F29-D4666EC798A1},214-009-003
3102,OSMP,No,Yes,Hiking Trail,2019/08/19 00:00:00+00,2099/12/31 00:00:00+00,201-160-158,Yes,1766,201,0.404,2091,Mesa,{55757CB3-A8D6-4FAF-8D84-5AD153557EA8},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,2132.291205,1576,1766,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{567DC772-2FA5-4D03-AC51-29BAB76CE2A0},201-160-158
